total_pop,deaths,family_households,nonfamily_households,rent_burden_not_computed,median_rent,white_pop,income_per_capita,families_with_young_children,income_less_10000,married_households,armed_forces,employed_pop,civilian_labor_force,unemployed_pop,bachelors_degree,in_school,no_cars,four_more_cars,pop_25_64,median_income,median_age,confirmed_cases,
23039,18,5783,1958,348,575,14539,19329,2301,354,4558,0,10195,10691,496,1299,6256,201,832,10953,46421,32.6,2369,
38697,6,8503,6945,520,591,34601,24166,2557,1832,7029,25,19118,20611,1493,5765,14922,797,1284,16831,43310,28.3,2397,
435117,391,104954,59435,4072,793,370788,31642,31674,10833,84065,848,214984,224627,9643,73092,117733,6498,10652,232883,60151,36.4,42863,
45369,55,11146,3757,304,527,33576,20720,4435,1012,8944,48,19417,20482,1065,3747,13066,455,2165,21145,51307,33.3,3954,
15110,22,3818,1732,284,550,10296,20821,1269,287,3006,0,6886,7287,401,984,3800,132,762,7116,42626,37.3,1210,
9050,6,2328,1180,123,523,7667,23120,560,244,1783,0,3450,3817,367,617,1800,203,361,4452,43472,46.5,517,
41855,23,11558,6005,392,617,39157,25909,2251,1296,9588,3,17199,17989,790,4627,7982,886,1923,21604,45607,47.7,2429,
207027,245,48420,20883,2651,663,146850,19765,19356,5303,37323,294,88055,94989,6934,16252,58206,2990,6680,99365,46426,33.2,22942,
40014,45,10817,5491,308,587,34907,26799,2812,1018,8023,0,18977,19817,840,4538,8907,933,2068,20091,51804,41.3,3215,
110404,125,27737,10663,563,616,92311,25706,11282,1914,22243,44,48734,50644,1910,13665,32005,1914,4339,52817,54150,32.6,11174,
7181,4,1822,1034,85,417,6709,23670,326,151,1330,0,2919,3135,216,650,1348,123,244,3932,47321,46.6,624,
5109,1,1390,721,127,326,4965,26918,320,178,1129,0,2349,2576,227,356,1167,110,240,2621,48542,43.7,385,
8259,14,2353,1060,248,365,8170,25945,516,210,1940,12,3751,3906,155,592,1757,158,381,4097,47293,43.6,717,
6776,7,1545,887,86,242,4190,18564,531,326,974,0,2164,2358,194,374,1503,232,82,3275,31014,42.3,389,
5691,3,1355,891,107,348,3622,20195,332,207,974,0,1971,2201,230,289,1191,288,140,2884,34655,43.3,613,
12899,9,3077,1409,192,426,10922,20726,669,362,2437,16,4165,4504,339,1022,2366,262,315,6896,45743,42.5,1211,
16176,20,4445,2259,301,413,14409,27866,1183,450,3532,26,8112,8687,575,1717,3508,254,430,8536,55411,42.8,1147,
5771,1,1646,792,106,516,5335,33697,291,86,1385,2,2983,3148,165,410,1253,54,227,2997,64741,47.5,346,
13904,39,3858,2176,217,432,13445,25952,825,314,3002,13,6173,6710,537,1046,2842,361,452,7012,44695,45.5,1166,
13311,30,3477,1610,165,407,12874,22836,834,400,2709,0,5854,6277,423,827,2779,269,511,6922,44502,42.7,1253,
14594,28,3854,2230,156,467,12944,23434,921,512,2977,0,5563,6038,475,937,3221,523,343,7369,42168,43.8,1018,
14711,20,3960,1896,118,458,14277,26166,1070,249,3246,28,6993,7206,213,1233,3377,637,293,7246,53979,39.9,1374,
11925,12,3164,1736,101,460,11311,29025,787,262,2640,0,5514,5880,366,1144,2265,195,463,5934,55173,46.3,670,
29173,39,7294,3940,497,431,26509,23172,1732,827,5696,0,10750,11413,663,1858,6113,660,691,15436,47807,42.4,3053,
10899,15,2922,1365,140,381,10542,24956,713,255,2402,0,5135,5407,272,773,2345,214,384,5614,50680,41.9,1085,
6570,8,1855,955,58,352,6355,26549,468,155,1475,0,3136,3340,204,400,1408,163,234,3259,49632,43.6,462,
14260,19,3882,2015,247,463,13719,29687,992,278,3203,0,7153,7484,331,1381,3158,165,536,7457,54520,43,1452,
16457,21,4206,2065,250,410,13920,21072,1018,348,3157,0,6361,6724,363,1026,3225,335,533,9102,44504,41.2,2176,
16433,11,4857,1819,110,587,15235,33672,1045,167,4007,6,8673,9082,409,2214,3884,131,450,8517,67360,43,1174,
13470,42,3649,2035,209,496,12707,26611,1045,319,2743,1,6177,6614,437,1330,2990,299,460,6868,50851,43.2,1388,
19214,20,4983,2682,210,406,17487,25955,1024,460,3893,0,8102,8641,539,1630,4113,464,641,10424,47468,42.5,1761,
18264,24,5242,2281,244,451,17594,26118,1179,398,4235,18,8292,8874,582,1809,3798,357,668,9121,51460,46,1486,
22215,40,6207,2624,241,485,21341,27528,1178,536,4953,1,10387,11081,694,1970,5812,369,802,11279,56320,42.5,2225,
14186,22,3981,2163,310,383,13705,26522,991,526,3134,0,6006,6540,534,1008,2907,466,367,7084,46279,43.8,1334,
24430,38,6645,3293,469,371,22375,22725,1560,1062,4874,0,9723,10964,1241,1865,5042,889,522,12439,40722,42,2030,
45960,68,12599,6064,488,482,44261,27255,2759,1135,9915,27,20963,22839,1876,4017,11065,964,1550,23782,53890,43.1,3849,
33562,57,8933,4959,468,467,31953,25614,1903,956,6557,0,14987,15715,728,2650,7092,729,1065,17650,50668,42.7,2986,
37640,77,9603,4580,251,568,34471,30382,2512,739,7779,15,18718,19474,756,4136,8519,719,1326,20677,64543,40.4,5032,
59115,57,12623,11319,1738,530,44012,23455,3597,4109,9164,26,25594,27952,2358,6092,21757,2601,1331,27185,36008,31.1,4187,
9608,14,2566,1157,103,365,9338,25806,595,300,2161,6,4522,4732,210,786,2026,158,377,4930,56523,43,1040,
266153,400,69651,37590,2646,616,227604,30278,18063,6905,51841,223,125596,135610,10014,30349,66616,6883,6586,141787,56536,40,24398,
308043,227,83007,27853,1269,989,252341,36208,20087,3446,67480,38,162177,171397,9220,45497,82250,4037,8580,165953,82230,39.9,21712,
38305,106,10461,5540,598,440,35058,24112,2781,1186,7509,0,16958,18570,1612,2633,8463,1116,1087,19304,44679,41.8,3994,
38942,53,10658,3889,270,582,37260,34198,2799,467,8907,7,18685,19608,923,5802,10401,640,1245,19545,69507,39.9,3202,
186145,228,45441,29074,2213,615,131028,29683,14494,6196,31938,96,84233,91855,7622,23520,47711,7545,3299,95375,53063,37,15054,
107587,168,26993,17317,1078,515,82514,28280,7679,3801,19290,94,48109,52964,4855,10855,25087,4241,2120,53933,49052,41,8836,
45839,54,12634,6970,370,482,38196,25792,3079,1470,9394,18,21253,23112,1859,3909,10275,1762,1151,22685,46427,44.7,3532,
134695,213,37075,17676,985,575,126850,32082,9457,2231,29879,155,63912,67327,3415,17038,31895,2858,3299,70433,60874,40.8,11944,
111151,196,29605,14843,1036,579,95693,27959,7213,2735,22104,58,50811,55428,4617,9067,25544,2614,2879,57934,54693,41.8,9478,
198134,201,51362,32311,1668,609,160020,33277,13730,5576,36945,164,95417,102439,7022,29200,49601,6373,3971,104473,58687,40.1,14548,
15924,27,4720,2089,254,425,15394,28495,1075,331,3638,0,7675,8206,531,1272,3479,204,561,8077,52068,43,1477,
34164,58,9120,4330,283,467,32804,29300,2563,616,7238,5,17229,18025,796,3741,7949,622,1275,17442,54655,39.1,4311,
21906,32,6302,2881,293,402,21335,24808,1381,536,5209,10,10352,10831,479,1768,4556,393,790,10983,49807,44.6,1970,
35733,41,9017,5052,307,465,32860,24269,2087,1038,6791,19,15027,16272,1245,3121,8002,942,900,18860,48599,42.5,2569,
22046,21,6401,3394,304,489,20927,32401,1099,425,5472,4,10968,11465,497,2453,4538,428,550,10668,55532,49.4,1485,
15953,35,3924,2536,241,408,15247,25262,1133,533,3075,0,7229,7719,490,1735,3570,437,463,8010,46454,42.3,1536,
